"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,326,67,54
2020-04-02,384,80,64
2020-04-03,461,95,76
2020-04-04,537,111,89
2020-04-05,632,129,103
2020-04-06,738,150,120
2020-04-07,851,172,137
2020-04-08,983,196,157
2020-04-09,1123,223,178
2020-04-10,1279,251,201
2020-04-11,1445,281,225
2020-04-12,1624,313,251
2020-04-13,1813,347,277
2020-04-14,2011,381,305
2020-04-15,2216,416,333
2020-04-16,2429,451,361
2020-04-17,2647,486,389
2020-04-18,2866,521,417
2020-04-19,3084,554,443
2020-04-20,3299,585,468
2020-04-21,3507,614,491
2020-04-22,3706,641,513
2020-04-23,3894,665,532
2020-04-24,4067,685,548
2020-04-25,4222,701,560
2020-04-26,4354,712,569
2020-04-27,4465,719,575
2020-04-28,4552,722,578
2020-04-29,4615,720,576
2020-04-30,4649,714,571
2020-05-01,4655,702,562
2020-05-02,4633,687,549
2020-05-03,4584,667,534
2020-05-04,4510,645,516
2020-05-05,4411,618,495
2020-05-06,4288,589,471
2020-05-07,4144,558,446
2020-05-08,3980,525,420
2020-05-09,3801,491,393
2020-05-10,3608,456,365
2020-05-11,3406,420,336
2020-05-12,3196,385,308
2020-05-13,2981,351,281
2020-05-14,2764,318,254
2020-05-15,2547,286,228
2020-05-16,2334,255,204
2020-05-17,2126,227,181
2020-05-18,1925,200,160
2020-05-19,1733,175,140
2020-05-20,1552,153,122
2020-05-21,1381,133,106
2020-05-22,1221,114,91
2020-05-23,1075,97,78
2020-05-24,938,83,66
2020-05-25,816,70,56
2020-05-26,703,58,47
2020-05-27,604,48,39
2020-05-28,516,40,32
2020-05-29,438,33,26
2020-05-30,370,27,22
2020-05-31,309,22,17
2020-06-01,257,17,14
2020-06-02,211,13,11
2020-06-03,172,10,8
2020-06-04,139,8,6
2020-06-05,110,5,4
2020-06-06,87,4,3
2020-06-07,67,2,2
2020-06-08,52,1,1
2020-06-09,39,1,1
2020-06-10,30,0,0
2020-06-11,22,0,0
2020-06-12,15,0,0
2020-06-13,10,0,0
2020-06-14,5,0,0
2020-06-15,3,0,0
2020-06-16,2,0,0
2020-06-17,1,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
