"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,3623,728,582
2020-04-02,4119,815,652
2020-04-03,4627,903,722
2020-04-04,5153,992,793
2020-04-05,5708,1080,864
2020-04-06,6227,1166,933
2020-04-07,6818,1249,999
2020-04-08,7341,1328,1063
2020-04-09,7869,1402,1122
2020-04-10,8372,1470,1176
2020-04-11,8843,1528,1223
2020-04-12,9280,1579,1264
2020-04-13,9672,1620,1297
2020-04-14,10018,1652,1322
2020-04-15,10314,1674,1340
2020-04-16,10556,1685,1348
2020-04-17,10744,1687,1350
2020-04-18,10871,1680,1344
2020-04-19,10939,1664,1331
2020-04-20,10944,1638,1311
2020-04-21,10890,1604,1283
2020-04-22,10781,1562,1250
2020-04-23,10612,1513,1210
2020-04-24,10393,1458,1166
2020-04-25,10127,1397,1118
2020-04-26,9815,1331,1064
2020-04-27,9462,1260,1008
2020-04-28,9074,1186,949
2020-04-29,8658,1111,889
2020-04-30,8216,1034,827
2020-05-01,7755,957,765
2020-05-02,7282,880,704
2020-05-03,6800,804,643
2020-05-04,6314,730,584
2020-05-05,5833,659,528
2020-05-06,5362,593,474
2020-05-07,4898,529,423
2020-05-08,4449,469,375
2020-05-09,4019,413,330
2020-05-10,3611,361,289
2020-05-11,3228,315,252
2020-05-12,2868,273,218
2020-05-13,2535,235,188
2020-05-14,2227,201,160
2020-05-15,1946,170,136
2020-05-16,1694,144,116
2020-05-17,1463,122,98
2020-05-18,1259,102,82
2020-05-19,1078,85,68
2020-05-20,916,70,56
2020-05-21,774,57,46
2020-05-22,651,47,38
2020-05-23,545,38,31
2020-05-24,454,31,25
2020-05-25,376,25,20
2020-05-26,309,20,16
2020-05-27,253,16,13
2020-05-28,206,12,10
2020-05-29,167,10,8
2020-05-30,134,8,6
2020-05-31,107,6,5
2020-06-01,86,4,4
2020-06-02,68,3,3
2020-06-03,53,3,2
2020-06-04,42,2,2
2020-06-05,32,1,1
2020-06-06,25,1,1
2020-06-07,19,1,1
2020-06-08,15,1,0
2020-06-09,11,0,0
2020-06-10,8,0,0
2020-06-11,6,0,0
2020-06-12,5,0,0
2020-06-13,4,0,0
2020-06-14,3,0,0
2020-06-15,2,0,0
2020-06-16,1,0,0
2020-06-17,1,0,0
2020-06-18,1,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
