"State_From","State_To","Day","Num_Units","DataSource","Fmax","Buffer","SurgeCorrection","Lasso"
"Florida","New Jersey","2020-04-09",218,"ihme",0.1,0.1,0.5,0.15
"Pennsylvania","Massachusetts","2020-04-09",152,"ihme",0.1,0.1,0.5,0.15
"Ohio","Massachusetts","2020-04-09",138,"ihme",0.1,0.1,0.5,0.15
"Texas","Connecticut","2020-04-09",123,"ihme",0.1,0.1,0.5,0.15
"Georgia","New Jersey","2020-04-09",115,"ihme",0.1,0.1,0.5,0.15
"Illinois","New York","2020-04-09",115,"ihme",0.1,0.1,0.5,0.15
"North Carolina","New Jersey","2020-04-09",98,"ihme",0.1,0.1,0.5,0.15
"Tennessee","Connecticut","2020-04-09",82,"ihme",0.1,0.1,0.5,0.15
"Indiana","New York","2020-04-09",77,"ihme",0.1,0.1,0.5,0.15
"Virginia","New Jersey","2020-04-09",71,"ihme",0.1,0.1,0.5,0.15
"Louisiana","New Jersey","2020-04-09",57,"ihme",0.1,0.1,0.5,0.15
"South Carolina","New Jersey","2020-04-09",53,"ihme",0.1,0.1,0.5,0.15
"Kentucky","Connecticut","2020-04-09",49,"ihme",0.1,0.1,0.5,0.15
"Alabama","New Jersey","2020-04-09",48,"ihme",0.1,0.1,0.5,0.15
"Minnesota","New York","2020-04-09",44,"ihme",0.1,0.1,0.5,0.15
"Wisconsin","New York","2020-04-09",44,"ihme",0.1,0.1,0.5,0.15
"Missouri","Massachusetts","2020-04-09",43,"ihme",0.1,0.1,0.5,0.15
"Maryland","New Jersey","2020-04-09",41,"ihme",0.1,0.1,0.5,0.15
"Mississippi","New Jersey","2020-04-09",39,"ihme",0.1,0.1,0.5,0.15
"Arkansas","Connecticut","2020-04-09",33,"ihme",0.1,0.1,0.5,0.15
"Missouri","New York","2020-04-09",31,"ihme",0.1,0.1,0.5,0.15
"Florida","Rhode Island","2020-04-09",28,"ihme",0.1,0.1,0.5,0.15
"Iowa","New York","2020-04-09",28,"ihme",0.1,0.1,0.5,0.15
"West Virginia","Connecticut","2020-04-09",27,"ihme",0.1,0.1,0.5,0.15
"Kansas","New York","2020-04-09",26,"ihme",0.1,0.1,0.5,0.15
"Nebraska","New York","2020-04-09",25,"ihme",0.1,0.1,0.5,0.15
"Oklahoma","Connecticut","2020-04-09",20,"ihme",0.1,0.1,0.5,0.15
"Oklahoma","Massachusetts","2020-04-09",19,"ihme",0.1,0.1,0.5,0.15
"Delaware","New Jersey","2020-04-09",11,"ihme",0.1,0.1,0.5,0.15
"Maine","Massachusetts","2020-04-09",11,"ihme",0.1,0.1,0.5,0.15
"New Hampshire","Massachusetts","2020-04-09",11,"ihme",0.1,0.1,0.5,0.15
"Maryland","Connecticut","2020-04-09",9,"ihme",0.1,0.1,0.5,0.15
"Vermont","Massachusetts","2020-04-09",5,"ihme",0.1,0.1,0.5,0.15
"South Dakota","New York","2020-04-09",1,"ihme",0.1,0.1,0.5,0.15
"Federal","New Jersey","2020-04-12",225,"ihme",0.1,0.1,0.5,0.15
"South Dakota","North Dakota","2020-04-12",8,"ihme",0.1,0.1,0.5,0.15
"Federal","New Jersey","2020-04-13",131,"ihme",0.1,0.1,0.5,0.15
"Federal","Massachusetts","2020-04-13",94,"ihme",0.1,0.1,0.5,0.15
"Federal","Connecticut","2020-04-14",146,"ihme",0.1,0.1,0.5,0.15
"Federal","New Jersey","2020-04-14",79,"ihme",0.1,0.1,0.5,0.15
"Federal","Massachusetts","2020-04-15",155,"ihme",0.1,0.1,0.5,0.15
"Federal","Connecticut","2020-04-15",70,"ihme",0.1,0.1,0.5,0.15
"Federal","Connecticut","2020-04-16",87,"ihme",0.1,0.1,0.5,0.15
"Federal","Massachusetts","2020-04-16",82,"ihme",0.1,0.1,0.5,0.15
"Federal","Rhode Island","2020-04-16",50,"ihme",0.1,0.1,0.5,0.15
"Federal","Maryland","2020-04-16",6,"ihme",0.1,0.1,0.5,0.15
"Federal","Massachusetts","2020-04-17",134,"ihme",0.1,0.1,0.5,0.15
"Federal","Connecticut","2020-04-17",51,"ihme",0.1,0.1,0.5,0.15
